ra,dec,type,const,mag,name,id,id1,cat1,id2,cat2
16.7873,-1.94778,GC,Oph,6.1,,10605,12,M,6218.0,NGC
7.69633,-14.81,OC,Pup,6.1,,3639,46,M,2437.0,NGC
21.8945,62.6033,OC,Cep,6.1,,12232,7160,NGC,,
8.775,-52.9,OC,Vel,6.1,,212664,202,Col,3,Harvard
2.37558,57.1442,OC,Per,6.1,Double cluster,1442,884,NGC,14.0,C
7.74144,-23.8531,OC,Pup,6.2,,3649,93,M,2447.0,NGC
4.34897,50.2553,OC,Per,6.2,,2513,1545,NGC,,
9.20072,-64.8631,GC,Car,6.2,,4277,2808,NGC,,
21.4996,12.1667,GC,Peg,6.3,,12105,15,M,7078.0,NGC
13.7031,28.3756,GC,CVn,6.3,,9036,3,M,5272.0,NGC
20.5741,28.2828,OC,Vul,6.3,,11810,6940,NGC,,
18.0391,-23.0272,OC+Neb,Sgr,6.3,Trifid nebula,10999,20,M,6514.0,NGC
19.6665,-30.9622,GC,Sgr,6.3,,11524,55,M,6809.0,NGC
18.134,-43.7158,GC,CrA,6.3,,11033,6541,NGC,78.0,C
8.20433,-37.5942,OC,Pup,6.3,,3800,2546,NGC,,
18.8744,-20.9911,OC,Sgr,6.3,,212722,394,Col,,
14.4956,-60.7108,OC,Cen,6.3,,9640,5617,NGC,,
4.25525,51.2114,OC,Per,6.4,,2485,1528,NGC,,
6.36167,2.36667,OC,Mon,6.4,,212636,91,Col,,
22.2524,49.8975,OC,Lac,6.4,,12387,7243,NGC,16.0,C
4.76544,19.1117,OC,Tau,6.4,,2674,1647,NGC,,
4.80803,10.9303,OC,Ori,6.4,,2691,1662,NGC,,
1.32572,58.2908,OC,Cas,6.4,,758,457,NGC,13.0,C
16.9259,-39.4608,OC,Sco,6.4,,10647,6242,NGC,,
17.0201,-30.1122,GC,Oph,6.4,,10688,62,M,6266.0,NGC
18.1619,-23.6597,OC,Sgr,6.4,,212717,367,Col,,
5.47847,35.855,OC,Aur,6.4,,3051,38,M,1912.0,NGC
17.2854,43.1364,GC,Her,6.5,,10762,92,M,6341.0,NGC
20.3994,38.5078,OC,Cyg,6.6,,11758,29,M,6913.0,NGC
21.5581,-0.823056,GC,Aqr,6.6,,12123,2,M,7089.0,NGC
16.9525,-4.09944,GC,Oph,6.6,,10655,10,M,6254.0,NGC
17.0438,-26.2681,GC,Oph,6.8,,10694,19,M,6273.0,NGC
13.4247,-43.0167,Gxy,Cen,6.8,Centaurus A,8801,5128,NGC,77.0,C
8.85558,11.8119,OC,Cnc,6.9,,4140,67,M,2682.0,NGC
23.414,61.6067,OC,Cas,6.9,,12982,52,M,7654.0,NGC
18.4091,-24.87,GC,Sgr,6.9,,11154,28,M,6626.0,NGC
18.3329,-17.1019,OC,Sgr,6.9,,11137,18,M,6613.0,NGC
21.6728,-23.1792,GC,Cap,6.9,,12152,30,M,7099.0,NGC
21.89,47.2667,OC+Neb,Cyg,7.2,Cocoon nebula,12230,5146,IC,19.0,C
9.92581,69.0653,Gxy,UMa,7.3,,4680,81,M,3031.0,NGC
22.494,-20.8372,PN,Aqr,7.3,Helix nebula,12493,7293,NGC,63.0,C
12.6578,-26.7428,GC,Hya,7.3,,7546,68,M,4590.0,NGC
16.2842,-22.975,GC,Sco,7.3,,10443,80,M,6093.0,NGC
1.55606,60.6581,OC,Cas,7.4,,974,103,M,581.0,NGC
19.9934,22.7214,PN,Vul,7.4,,11604,27,M,6853.0,NGC
14.0534,54.3486,Gxy,UMa,7.5,,9297,101,M,5457.0,NGC
17.6267,-3.24611,GC,Oph,7.6,,10862,14,M,6402.0,NGC
10.4128,-18.6428,PN,Hya,7.7,Ghost of Jupiter,4940,3242,NGC,59.0,C
18.9176,-30.4783,GC,Sgr,7.7,,11329,54,M,6715.0,NGC
18.5231,-32.3481,GC,Sgr,7.7,,11183,69,M,6637.0,NGC
13.2153,18.1689,GC,Com,7.7,,8625,53,M,5024.0,NGC
5.40294,-24.5242,GC,Lep,7.7,,3011,79,M,1904.0,NGC
22.9548,62.4759,Neb,Cep,7.7,Cave Nebula,13230,9,C,,
0.792528,-25.2881,Gxy,Scl,7.8,Sculptor galaxy,421,253,NGC,65.0,C
13.6167,-29.8678,Gxy,Hya,7.8,,8980,83,M,5236.0,NGC
17.3199,-18.5164,GC,Oph,7.8,,10775,9,M,6333.0,NGC
16.5422,-13.0528,GC,Oph,7.8,,10537,107,M,6171.0,NGC
18.7201,-32.2919,GC,Sgr,7.8,,11268,70,M,6681.0,NGC
12.6665,-11.6231,Gxy,Vir,7.9,Sombrero galaxy,7561,104,M,4594.0,NGC
21.0696,-11.3636,PN,Aqr,8.0,Saturn nebula,11977,7009,NGC,55.0,C
12.8481,41.12,Gxy,CVn,8.0,,7912,94,M,4736.0,NGC
5.77939,0.0791667,Neb,Ori,8.0,,3217,78,M,2068.0,NGC
18.7552,-9.38361,OC,Sct,8.0,,11280,26,M,6694.0,NGC
11.8383,-57.1822,PN,Cen,8.1,Blue planetary,6147,3918,NGC,,
5.644,-69.0942,Neb,Dor,8.2,Tarantula nebula,3158,2070,NGC,103.0,C
0.67275,41.6906,Gxy,And,8.2,,347,110,M,205.0,NGC
23.4316,42.535,PN,And,8.3,Blue Snowball,12995,7662,NGC,22.0,C
0.711611,40.8644,Gxy,And,8.3,,372,32,M,221.0,NGC
19.8961,18.7783,GC,Sge,8.4,,11574,71,M,6838.0,NGC
19.2765,30.1847,GC,Lyr,8.4,,11440,56,M,6779.0,NGC
5.57553,22.0144,Neb,Tau,8.4,,3100,1,M,1952.0,NGC
12.4963,8.0,Gxy,Vir,8.4,,7221,49,M,4472.0,NGC
12.9456,21.6828,Gxy,Com,8.4,,8098,64,M,4826.0,NGC
13.4978,47.1953,Gxy,CVn,8.5,Whirlpool galaxy,8870,51,M,5194.0,NGC
20.1013,-21.9214,GC,Sgr,8.6,,11641,75,M,6864.0,NGC
10.0872,-7.71917,Gxy,Sex,8.6,Spindle galaxy,4773,3115,NGC,53.0,C
12.316,47.3042,Gxy,CVn,8.7,,6699,106,M,4258.0,NGC
12.5137,12.3906,Gxy,Vir,8.8,,7249,87,M,4486.0,NGC
18.893,33.0286,PN,Lyr,8.8,Ring nebula in Lyra,11325,57,M,6720.0,NGC
19.7467,50.5253,PN,Cyg,8.8,Blinking planetary,11548,6826,NGC,15.0,C
12.7277,11.5519,Gxy,Vir,8.8,,7695,60,M,4649.0,NGC
20.9822,-12.6356,Ast,Aqr,8.9,,11937,73,M,6994.0,NGC
9.93075,69.6786,Gxy,UMa,8.9,,4684,82,M,3034.0,NGC
5.59203,-5.2675,Neb,Ori,9.0,,3122,43,M,1982.0,NGC
12.4366,12.9464,Gxy,Vir,9.0,,7055,86,M,4406.0,NGC
13.2636,42.0306,Gxy,CVn,9.0,Sunflower galaxy,8653,63,M,5055.0,NGC
6.65264,8.74417,Neb,Mon,9.0,Hubble's variable neb,3410,2261,NGC,46.0,C
11.3375,12.9911,Gxy,Leo,9.0,,5568,66,M,3627.0,NGC
7.48633,20.9117,PN,Gem,9.1,Eskimo nebula,3585,2392,NGC,39.0,C
2.71131,-0.0130556,Gxy,Cet,9.1,,1677,77,M,1068.0,NGC
10.1171,-40.4364,PN,Vel,9.2,Eight-burst planetary,4792,3132,NGC,74.0,C
20.8911,-12.5369,GC,Aqr,9.2,,11913,72,M,6981.0,NGC
12.3701,58.0831,**,UMa,9.2,Winnecke 4,13232,40,M,,
12.4234,18.1908,Gxy,Com,9.2,,7009,85,M,4382.0,NGC
10.7794,11.8236,Gxy,Leo,9.3,,5141,96,M,3368.0,NGC
11.3155,13.0936,Gxy,Leo,9.3,,5546,65,M,3623.0,NGC
10.7971,12.5814,Gxy,Leo,9.4,,5152,105,M,3379.0,NGC
12.418,12.8869,Gxy,Vir,9.4,,6989,84,M,4374.0,NGC
1.61156,15.7842,Gxy,Psc,9.5,,1019,74,M,628.0,NGC
12.6139,13.1625,Gxy,Vir,9.6,,7487,90,M,4569.0,NGC
12.3652,4.47333,Gxy,Vir,9.6,,6824,61,M,4303.0,NGC
17.2291,-37.1033,PN,Sco,9.6,Bug nebula,10736,6302,NGC,69.0,C
12.3138,14.4169,Gxy,Com,9.7,Pin-wheel nebula,6687,99,M,4254.0,NGC
12.5331,14.4208,Gxy,Com,9.7,,7290,88,M,4501.0,NGC
12.3819,15.8225,Gxy,Com,9.7,,6870,100,M,4321.0,NGC
12.5944,12.5564,Gxy,Vir,9.8,,7427,89,M,4552.0,NGC
12.7007,11.6467,Gxy,Vir,9.8,,7630,59,M,4621.0,NGC
19.749,-14.8103,Gxy,Sgr,9.9,Barnard's galaxy,11549,6822,NGC,57.0,C
11.96,53.3744,Gxy,UMa,9.9,,6250,109,M,3992.0,NGC
11.2466,55.0186,PN,UMa,9.9,Owl nebula,5450,97,M,3587.0,NGC
12.2301,14.9,Gxy,Com,10.0,,6540,98,M,4192.0,NGC
