ra,dec,type,const,mag,name,primary_designation,id,id1,cat1,id2,cat2
22.6009,33.9483,Gxy,Peg,13.1,Stephan's Quintet,NGC 7320,12532,7320,NGC,,
22.5996,33.9658,Gxy,Peg,13.4,Stephan's Quintet,NGC 7318,12530,7318,NGC,,
12.2086,29.1683,Gxy,Com,13.4,Box,NGC 4175,6511,4175,NGC,,
12.7696,30.7264,Gxy,Com,13.5,The Mice,NGC 4676,7773,4676,NGC,,
12.2074,29.1492,Gxy,Com,13.5,Box,NGC 4174,6509,4174,NGC,,
1.69522,-89.3344,Gxy,Oct,13.6,Polarissima Australis,NGC 2573,1049,2573,NGC,,
11.6316,21.9808,Gxy,Leo,13.7,Copeland's Septet,NGC 3753,5962,3753,NGC,,
22.601,33.9758,Gxy,Peg,13.8,Stephan's Quintet,NGC 7319,12531,7319,NGC,,
22.5977,33.9447,Gxy,Peg,13.9,Stephan's Quintet,NGC 7317,12529,7317,NGC,,
11.631,21.9739,Gxy,Leo,14,Copeland's Septet,NGC 3750,5960,3750,NGC,,
11.5665,49.0621,Gxy,UMa,14.08,Papillon,,5896,708,IC,,
11.6319,21.9853,Gxy,Leo,14.3,Copeland's Septet,NGC 3754,5963,3754,NGC,,
11.6317,21.9361,Gxy,Leo,14.3,Copeland's Septet,NGC 3751,5961,3751,NGC,,
11.7875,89.0928,Gxy,UMi,14.4,Polarissima Borealis,NGC 3172,6143,3172,NGC,,
11.6287,22.0094,Gxy,Leo,14.4,Copeland's Septet,NGC 3746,5956,3746,NGC,,
11.6303,22.0258,Gxy,Leo,14.6,Copeland's Septet,NGC 3748,5958,3748,NGC,,
11.6291,22.0208,Gxy,Leo,15.2,Copeland's Septet,NGC 3745,5955,3745,NGC,,
4.054,36.3675,Neb,Per,6,California Nebula,NGC 1499,2411,1499,NGC,,
5.115,-7.21667,Neb,Eri,13,Witch Head Nebula,,2878,2118,IC,,
5.27,34.2667,Neb,Aur,6,Flaming Star Nebula,,2940,405,IC,31,C
5.68333,-2.4,Neb,Ori,6.8,Horsehead Nebula,,3179,434,IC,,
6.51517,5.04917,Neb,Mon,9,Rosette Nebula,NGC 2237,3381,2237,NGC,49,C
20.2018,38.355,Neb,Cyg,7.4,Crescent Nebula,NGC 6888,11682,6888,NGC,27,C
20.37,40.25,,Cyg,2.2,gamma Cyg Nebula,,11744,1318,IC,,
20.7661,30.5953,SNR,Cyg,7,Veil Nebula,NGC 6960,11860,6960,NGC,34,C
20.7967,44.3667,,Cyg,8,Pelican Nebula,,11877,5067,IC,,
21.03,44.2,Neb,Cyg,4,North America Nebula,NGC 7000,11936,7000,NGC,20,C
23.346,61.2125,Neb,Cas,10,Bubble Nebula,NGC 7635,12948,7635,NGC,11,C
